epoch,step,train_loss,val_loss
0,15,,4.647147178649902
0,15,3.3544960021972656,
1,31,,4.6417717933654785
1,31,2.6159987449645996,
2,47,,4.392129898071289
2,47,2.0515763759613037,
3,63,,4.328483581542969
3,63,1.6717514991760254,
4,79,,4.326404571533203
4,79,1.38744056224823,
5,95,,4.2468461990356445
5,95,1.2395106554031372,
6,111,,4.427824020385742
6,111,1.077777624130249,
7,127,,4.1750288009643555
7,127,0.971644937992096,
8,143,,4.53103494644165
8,143,0.9020909070968628,
9,159,,4.446710109710693
9,159,0.8346733450889587,
10,175,,4.399154186248779
10,175,0.7846274375915527,
11,191,,4.173165321350098
11,191,0.7447080612182617,
12,207,,4.346222877502441
12,207,0.7124621868133545,
13,223,,4.536768913269043
13,223,0.665633499622345,
14,239,,4.393061637878418
14,239,0.6555764675140381,
15,255,,4.571602821350098
15,255,0.6440005302429199,
16,271,,4.438145160675049
16,271,0.6129801869392395,
17,287,,4.366828918457031
17,287,0.6030987501144409,
18,303,,4.192911148071289
18,303,0.5788912177085876,
19,319,,4.380518913269043
19,319,0.5791140794754028,
20,335,,4.245125770568848
20,335,0.5383001565933228,
21,351,,4.496953964233398
21,351,0.5476604700088501,
22,367,,4.344287872314453
22,367,0.533571720123291,
23,383,,4.25390625
23,383,0.5265254378318787,
24,399,,4.169438362121582
24,399,0.5182400941848755,
25,415,,4.297305107116699
25,415,0.5104449987411499,
26,431,,4.198179244995117
26,431,0.505243718624115,
27,447,,4.256772994995117
27,447,0.48514699935913086,
28,463,,4.220685005187988
28,463,0.4838365316390991,
29,479,,4.291714668273926
29,479,0.4786517024040222,
30,495,,4.254837989807129
30,495,0.47365403175354004,
31,511,,4.22236967086792
31,511,0.46507728099823,
32,527,,4.14169979095459
32,527,0.46427151560783386,
33,543,,4.28182315826416
33,543,0.45737865567207336,
34,559,,4.221975326538086
34,559,0.45267918705940247,
35,575,,4.225738525390625
35,575,0.4367048442363739,
36,591,,4.241578102111816
36,591,0.4365176558494568,
37,607,,4.13621711730957
37,607,0.43324828147888184,
38,623,,4.17237663269043
38,623,0.4276784062385559,
39,639,,4.249211311340332
39,639,0.4319629371166229,
40,655,,4.221186637878418
40,655,0.4232684373855591,
41,671,,4.160192012786865
41,671,0.41890382766723633,
42,687,,4.1596903800964355
42,687,0.41983598470687866,
43,703,,4.262041091918945
43,703,0.4115448594093323,
44,719,,4.136898040771484
44,719,0.4092347025871277,
45,735,,4.200437545776367
45,735,0.4095386564731598,
46,751,,4.2110090255737305
46,751,0.40366578102111816,
47,767,,4.162270545959473
47,767,0.40772545337677,
48,783,,4.242617607116699
48,783,0.4059402346611023,
49,799,,4.134030818939209
49,799,0.3992944061756134,
50,815,,4.086869239807129
50,815,0.3881208598613739,
51,831,,4.174598693847656
51,831,0.39333370327949524,
52,847,,4.155031204223633
52,847,0.38997942209243774,
53,863,,4.114212989807129
53,863,0.3880591094493866,
54,879,,4.077408313751221
54,879,0.38230589032173157,
55,895,,4.099412441253662
55,895,0.38566210865974426,
56,911,,4.080347061157227
56,911,0.38075515627861023,
57,927,,4.094932556152344
57,927,0.3779798746109009,
58,943,,4.111453533172607
58,943,0.3751756250858307,
59,959,,4.097046852111816
59,959,0.374388188123703,
60,975,,4.1077985763549805
60,975,0.37691837549209595,
61,991,,4.090847015380859
61,991,0.3844105005264282,
62,1007,,4.085220813751221
62,1007,0.36654964089393616,
63,1023,,4.092101097106934
63,1023,0.3733585774898529,
64,1039,,4.097620010375977
64,1039,0.3682200312614441,
65,1055,,4.098337173461914
65,1055,0.37606728076934814,
66,1071,,4.104931354522705
66,1071,0.37325820326805115,
67,1087,,4.101598262786865
67,1087,0.3647383749485016,
68,1103,,4.079594612121582
68,1103,0.3584727346897125,
69,1119,,4.051139831542969
69,1119,0.36526140570640564,
70,1135,,4.042860984802246
70,1135,0.36379945278167725,
71,1151,,4.06300163269043
71,1151,0.3704192340373993,
72,1167,,4.09425163269043
72,1167,0.35905078053474426,
73,1183,,4.054579734802246
73,1183,0.3608350157737732,
74,1199,,4.055225372314453
74,1199,0.36281999945640564,
75,1215,,4.054328918457031
75,1215,0.36184534430503845,
76,1231,,4.056264400482178
76,1231,0.359997421503067,
77,1247,,4.049741744995117
77,1247,0.3604258596897125,
78,1263,,4.050422668457031
78,1263,0.3563748598098755,
79,1279,,4.053003311157227
79,1279,0.3600495159626007,
80,1295,,4.05802059173584
80,1295,0.353405624628067,
81,1311,,4.059238433837891
81,1311,0.3591887652873993,
82,1327,,4.0558342933654785
82,1327,0.35287681221961975,
83,1343,,4.041857719421387
83,1343,0.3582787811756134,
84,1359,,4.053863048553467
84,1359,0.35745662450790405,
85,1375,,4.049992561340332
85,1375,0.3576013743877411,
86,1391,,4.050530433654785
86,1391,0.3548096716403961,
87,1407,,4.044473648071289
87,1407,0.3555806875228882,
88,1423,,4.0476274490356445
88,1423,0.3554127812385559,
89,1439,,4.049527168273926
89,1439,0.3549148440361023,
90,1455,,4.045584678649902
90,1455,0.3538774847984314,
91,1471,,4.052644729614258
91,1471,0.35586920380592346,
92,1487,,4.05106782913208
92,1487,0.3522958755493164,
93,1503,,4.047484397888184
93,1503,0.35252267122268677,
94,1519,,4.049168586730957
94,1519,0.3524667024612427,
95,1535,,4.046014785766602
95,1535,0.3579053282737732,
96,1551,,4.048559188842773
96,1551,0.35365554690361023,
97,1567,,4.043936252593994
97,1567,0.3490767180919647,
98,1583,,4.045370101928711
98,1583,0.35652637481689453,
99,1599,,4.049275875091553
99,1599,0.34707725048065186,
